run_timestamp,model_type,scale_tag,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,return_best_iteration,rent_best_test,return_best_test,rent_final_metric,return_final_metric,rent_classifier_logloss,rent_regressor_poisson_pos,return_classifier_logloss,return_regressor_poisson_pos,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_od_wait,cb_iterations
auto_cb_20260417_110612_034,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,260,226,-2.1324686182129677,-2.116115586379078,1.0706405046570107,1.1646171364275246,,,,,Poisson,Poisson,0.02,10,4.0,30,3000
auto_cb_20260417_110657_035,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,231,251,-2.1306826293709364,-2.118984471094711,1.0742126613252219,1.1588776888415493,,,,,Poisson,Poisson,0.02,10,5.0,15,3000
auto_cb_20260417_110741_036,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,312,334,-2.1341640034703917,-2.1241340036168217,1.067249621866026,1.1485779441155168,,,,,Poisson,Poisson,0.02,10,5.0,30,3000
auto_cb_20260417_110837_037,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,172,148,-2.1257888918174896,-2.1027893091430916,1.0839985702189874,1.1912684928000226,,,,,Poisson,Poisson,0.03,8,3.0,15,3000
auto_cb_20260417_110854_038,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,172,214,-2.1257891206144204,-2.110640704621332,1.0839986207629735,1.1755660942934507,,,,,Poisson,Poisson,0.03,8,3.0,30,3000
auto_cb_20260417_110915_039,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,205,216,-2.126711172245651,-2.111685162610555,1.0821563017520304,1.1734757931530615,,,,,Poisson,Poisson,0.03,8,4.0,15,3000
auto_cb_20260417_110937_040,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,176,216,-2.1257927813653135,-2.1116458095384525,1.0839925518419218,1.1735541771245168,,,,,Poisson,Poisson,0.03,8,4.0,30,3000
auto_cb_20260417_110957_041,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,186,153,-2.126460639606396,-2.102252093949511,1.0826549790193485,1.1923420919966972,,,,,Poisson,Poisson,0.03,8,5.0,15,3000
auto_cb_20260417_111015_042,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,186,216,-2.1264590380278805,-2.10663149600246,1.0826594138908638,1.1835832947386744,,,,,Poisson,Poisson,0.03,8,5.0,30,3000
auto_cb_20260417_111035_043,CB,all,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,186,138,-2.1351139683271834,-2.106864868871903,1.0653487746588206,1.1831183505789609,,,,,Poisson,Poisson,0.03,9,3.0,15,3000
