run_timestamp,scale_tag,train_file,test_file,output_file,report_metric_space,use_log_target,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,rent_validation_rmse_objective,rent_final_validation_rmse,rent_training_seconds,rent_top_features,return_best_iteration,return_validation_rmse_objective,return_final_validation_rmse,return_training_seconds,return_top_features,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_random_seed,cb_task_type,cb_devices,cb_od_type,cb_od_wait,cb_iterations,cb_log_eval_period,train_valid_test_size,train_valid_random_state,categorical_features
auto_cb_20260415_155241_021,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155241_021/prediction_CB_scale_all_auto_cb_20260415_155241_021.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,199,0.39094736083680687,0.39094731944919026,6.101,rent_mean_7d:52.297633; normal_power_bike_count:10.883335; return_mean_7d:8.970090; h3:4.541046; available_power_bike_gap:4.405733,188,0.40438146547374815,0.4043814234781001,7.071,return_mean_7d:61.771205; rent_mean_7d:9.144269; h3:7.006704; hour:3.731568; day_of_week:3.312938,RMSE,RMSE,0.02,8,4.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155257_022,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155257_022/prediction_CB_scale_all_auto_cb_20260415_155257_022.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,199,0.39094736083680687,0.39094731944919026,6.251,rent_mean_7d:52.297633; normal_power_bike_count:10.883335; return_mean_7d:8.970090; h3:4.541046; available_power_bike_gap:4.405733,188,0.40438146547374815,0.4043814234781001,6.755,return_mean_7d:61.771205; rent_mean_7d:9.144269; h3:7.006704; hour:3.731568; day_of_week:3.312938,RMSE,RMSE,0.02,8,4.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155313_023,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155313_023/prediction_CB_scale_all_auto_cb_20260415_155313_023.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,198,0.3911731423250297,0.3911731330760184,6.009,rent_mean_7d:52.605875; normal_power_bike_count:10.602229; return_mean_7d:8.933961; available_power_bike_gap:4.681970; h3:4.460249,188,0.4042131241618246,0.40421312302114404,6.717,return_mean_7d:61.890494; rent_mean_7d:9.133573; h3:7.050741; hour:3.773786; normal_power_bike_count:3.232451,RMSE,RMSE,0.02,8,5.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155328_024,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155328_024/prediction_CB_scale_all_auto_cb_20260415_155328_024.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,198,0.3911731423250297,0.3911731330760184,5.036,rent_mean_7d:52.605875; normal_power_bike_count:10.602229; return_mean_7d:8.933961; available_power_bike_gap:4.681970; h3:4.460249,188,0.4042131241618246,0.40421312302114404,7.253,return_mean_7d:61.890494; rent_mean_7d:9.133573; h3:7.050741; hour:3.773786; normal_power_bike_count:3.232451,RMSE,RMSE,0.02,8,5.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155344_025,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155344_025/prediction_CB_scale_all_auto_cb_20260415_155344_025.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,195,0.39076787128349627,0.3907678759331892,6.564,rent_mean_7d:48.388911; normal_power_bike_count:11.113057; return_mean_7d:8.463503; hour:5.105705; h3:4.991149,185,0.40382310022119505,0.4038230698015438,7.086,return_mean_7d:57.448659; h3:8.006018; rent_mean_7d:7.445028; hour:4.894571; day_of_week:3.929807,RMSE,RMSE,0.02,9,3.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155400_026,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155400_026/prediction_CB_scale_all_auto_cb_20260415_155400_026.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,195,0.39076787128349627,0.3907678759331892,6.15,rent_mean_7d:48.388911; normal_power_bike_count:11.113057; return_mean_7d:8.463503; hour:5.105705; h3:4.991149,206,0.40371405481294004,0.4037140461089227,8.23,return_mean_7d:55.315046; h3:8.140465; rent_mean_7d:7.215776; hour:5.328777; day_of_week:4.373671,RMSE,RMSE,0.02,9,3.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155418_027,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155418_027/prediction_CB_scale_all_auto_cb_20260415_155418_027.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,195,0.38980262522771114,0.38980265139102654,6.191,rent_mean_7d:48.904934; normal_power_bike_count:11.472754; return_mean_7d:8.472472; h3:5.134647; hour:4.920503,176,0.40392914245351935,0.4039291374952125,6.5,return_mean_7d:58.587759; h3:7.932909; rent_mean_7d:7.603291; hour:4.679304; day_of_week:3.782104,RMSE,RMSE,0.02,9,4.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155433_028,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155433_028/prediction_CB_scale_all_auto_cb_20260415_155433_028.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,195,0.38980262522771114,0.38980265139102654,7.436,rent_mean_7d:48.904934; normal_power_bike_count:11.472754; return_mean_7d:8.472472; h3:5.134647; hour:4.920503,176,0.40392914245351935,0.4039291374952125,6.933,return_mean_7d:58.587759; h3:7.932909; rent_mean_7d:7.603291; hour:4.679304; day_of_week:3.782104,RMSE,RMSE,0.02,9,4.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155450_029,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155450_029/prediction_CB_scale_all_auto_cb_20260415_155450_029.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,190,0.3906516676599671,0.3906516269101453,6.103,rent_mean_7d:48.956675; normal_power_bike_count:11.147363; return_mean_7d:8.705198; h3:4.914935; hour:4.783833,176,0.40382593309687975,0.40382594924287585,6.949,return_mean_7d:58.225048; h3:7.791262; rent_mean_7d:7.670561; hour:4.776350; day_of_week:4.016241,RMSE,RMSE,0.02,9,5.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155506_030,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155506_030/prediction_CB_scale_all_auto_cb_20260415_155506_030.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,190,0.3906516676599671,0.3906516269101453,5.676,rent_mean_7d:48.956675; normal_power_bike_count:11.147363; return_mean_7d:8.705198; h3:4.914935; hour:4.783833,176,0.40382593309687975,0.40382594924287585,7.012,return_mean_7d:58.225048; h3:7.791262; rent_mean_7d:7.670561; hour:4.776350; day_of_week:4.016241,RMSE,RMSE,0.02,9,5.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155522_031,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155522_031/prediction_CB_scale_all_auto_cb_20260415_155522_031.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,205,0.3895286223102399,0.3895286328407865,7.675,rent_mean_7d:43.651982; normal_power_bike_count:10.852218; return_mean_7d:7.709809; hour:6.398566; h3:5.913125,193,0.4035043987662772,0.40350438207916234,9.888,return_mean_7d:52.641391; h3:8.373083; rent_mean_7d:6.617826; hour:5.811824; day_of_week:4.964312,RMSE,RMSE,0.02,10,3.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_155542_032,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155542_032/prediction_CB_scale_all_auto_cb_20260415_155542_032.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,205,0.3895286223102399,0.3895286328407865,7.643,rent_mean_7d:43.651982; normal_power_bike_count:10.852218; return_mean_7d:7.709809; hour:6.398566; h3:5.913125,193,0.4035043987662772,0.40350438207916234,8.242,return_mean_7d:52.641391; h3:8.373083; rent_mean_7d:6.617826; hour:5.811824; day_of_week:4.964312,RMSE,RMSE,0.02,10,3.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_155601_033,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_155601_033/prediction_CB_scale_all_auto_cb_20260415_155601_033.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,192,0.38992168571278296,0.3899216533794201,7.541,rent_mean_7d:44.044609; normal_power_bike_count:10.659341; return_mean_7d:7.817280; hour:6.222084; h3:5.726869,206,0.4035905418751655,0.4035905634673528,8.628,return_mean_7d:51.616859; h3:8.439989; rent_mean_7d:6.454806; hour:5.974573; day_of_week:5.322010,RMSE,RMSE,0.02,10,4.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
